recommendation_id,user_id,property_id,recommendation_score,recommendation_reason,model_version,generated_at,is_active
d5aa96a3-44a7-4977-9cb1-7cbc930fcacb,13803893-eafb-4f0b-ac7d-2164aad83167,e4ea064e-8eb9-4bc5-97a3-dd38be196019,0.67,Located in your preferred city of Chicago. Meets your minimum bedroom requirement (5 beds).,xome-rec-v1.0,2026-04-29 21:53:50.421621,True
d6fab707-8774-4f11-9cf3-31f0242ed48f,29422e6e-84c9-49a7-b5ea-259a0902f229,c664d076-c008-414f-9e08-1b5477283129,0.678,Located in your preferred city of Nashville. Within your budget range.,xome-rec-v1.0,2026-05-01 22:53:50.421621,True
0ce9afbf-e347-498f-b72b-ff8f5603f18c,485bc076-8429-4e43-a807-970db1c02848,7e8d27fa-6f35-4f52-a006-1e4cf593fdf6,0.482,Located in your preferred city of New York. Meets your minimum bedroom requirement (3 beds).,xome-rec-v1.0,2026-04-22 04:53:50.421621,True
71b7098e-9a73-4ced-9939-f0073d8c7904,382ccc30-7812-4fe2-808d-47f64ea04312,e0f6a88a-a03c-4af7-8bf4-01dba1d01c4a,0.81,Located in your preferred city of San Francisco. Matches your preferred property type (Condo). Meets your minimum bedroom requirement (3 beds). Auction opportunity with potential below-market pricing.,xome-rec-v1.0,2026-04-26 18:53:50.421621,True
949618b3-f3fe-4d2e-8e19-7fdb5e0e49e6,107b178a-074f-46a8-aa94-9ebfb2dabed5,c1c69be7-bb6e-454a-82b0-ee0b5e74837e,0.334,Matches your preferred property type (Multi-Family). Auction opportunity with potential below-market pricing.,xome-rec-v1.0,2026-05-02 00:53:50.421621,True
e46eedea-aa3f-4b46-b1f7-88ae03d2336e,9e7bc21e-ef6a-4abb-928e-334fcce1ca1e,83f44cde-3582-4102-a48b-876b497cdd71,0.672,Within your budget range. Matches your preferred property type (Townhouse). Meets your minimum bedroom requirement (3 beds). Auction opportunity with potential below-market pricing.,xome-rec-v1.0,2026-04-25 03:53:50.421621,True
2c2d4c80-0050-415c-b58d-03ba113f566e,a9420e39-9250-4639-9a77-d3e7cd02cf76,72aaf1f5-953a-44b9-a2fa-cba021bd7c80,0.812,Located in your preferred city of Denver. Within your budget range. Meets your minimum bedroom requirement (4 beds). Excellent school rating (7.8/10).,xome-rec-v1.0,2026-05-03 12:53:50.421621,True
59561945-98ca-4914-b5f6-117fc721becf,47069c22-3fbf-4a3d-87b2-3289e01fd52b,1daa23fb-1e53-4ef8-8d98-9b626c6496fc,0.644,Located in your preferred city of Boston. Within your budget range. Excellent school rating (8.8/10). Auction opportunity with potential below-market pricing.,xome-rec-v1.0,2026-05-04 13:53:50.421621,True
1c2b4605-662f-4ebf-b2dc-c8cedeb98092,f0f1e5c7-76aa-4293-ab0d-eca1a819afd8,6ef50578-98d1-46c8-942d-d416373122b3,0.615,Located in your preferred city of Chicago. Meets your minimum bedroom requirement (4 beds). Auction opportunity with potential below-market pricing.,xome-rec-v1.0,2026-05-02 07:53:50.421621,True
1a441812-8320-46f1-a3b5-fadfa07f9238,4d483110-d090-4f08-9a1f-a377ad91306f,4a9af16c-0c2c-4279-88ec-0f72cc1f2a59,0.094,Excellent school rating (8.5/10).,xome-rec-v1.0,2026-04-28 05:53:50.421621,True
73905357-8e2f-4a71-969f-a5c6ff2fdc21,493de173-e042-40ea-be0f-6020a3d36ba0,df7635d0-9538-4d3d-b13b-edf0f983ba56,0.516,Located in your preferred city of New York. Meets your minimum bedroom requirement (4 beds).,xome-rec-v1.0,2026-04-21 13:53:50.421621,True
de59b6be-baeb-4860-8978-dc96e585f0c5,be0d2f5a-76d0-4f24-a69d-a2906e7a4550,c7a5b100-59d1-4468-967f-2d4774c554c5,0.842,Located in your preferred city of Portland. Within your budget range. Meets your minimum bedroom requirement (5 beds). Auction opportunity with potential below-market pricing.,xome-rec-v1.0,2026-05-01 04:53:50.421621,True
91fe2570-6973-49ca-b46b-779613687f4b,2f58d40f-18ab-4d8f-9696-c6eddf25a7ca,b457d9fc-0803-4737-ad82-a7f7899cd55c,0.763,Located in your preferred city of Denver. Within your budget range. Meets your minimum bedroom requirement (4 beds). Excellent school rating (8.1/10).,xome-rec-v1.0,2026-05-01 07:53:50.421621,True
f51dc37d-90dc-46b1-b3f7-47a8ff99ec79,c175ffbe-0111-420d-b90a-3d496d98ae88,78d1f535-207b-49f7-b896-4887a3dbaa27,0.979,Located in your preferred city of Nashville. Within your budget range. Matches your preferred property type (Townhouse). Meets your minimum bedroom requirement (4 beds). Auction opportunity with potential below-market pricing.,xome-rec-v1.0,2026-04-26 23:53:50.421621,True
42b3ffc6-4084-46c2-8357-eb298d4d2813,2de87dc6-3286-4a7c-bd97-663973851201,07e22095-b8a6-4373-bbc4-3ce4733b76a9,0.676,Located in your preferred city of New York. Matches your preferred property type (Condo).,xome-rec-v1.0,2026-05-04 04:53:50.421621,True
f56f40bb-ebd3-4da8-958a-bc843c1c4127,b5551b11-f0b6-4569-ba8c-5aeedf791cff,60f00a59-7f5b-418b-968d-4fcfc138d383,0.804,Located in your preferred city of Portland. Within your budget range. Meets your minimum bedroom requirement (4 beds). Excellent school rating (8.3/10).,xome-rec-v1.0,2026-04-21 09:53:50.421621,True
72ed57ff-d195-47f2-92bf-615825c93f92,4160091e-2706-446d-9f93-3fb4fe2e2245,77cfabcc-a984-40c2-8a2c-8d1e99892138,0.289,Within your budget range. Excellent school rating (9.3/10).,xome-rec-v1.0,2026-05-01 12:53:50.421621,True
