activity_id,user_id,property_id,activity_type,activity_timestamp,session_duration_seconds,search_query,device_type,referral_source
7bc07102-8a84-47d7-8639-17f8f4727ce8,1ab19123-6489-4a1c-9481-4fe62e7ac527,7e118620-3317-4e23-a36b-957e0304eda9,search,2026-03-27 20:45:47.177146,456,open house this weekend Seattle,desktop,social
ccd0f62f-7e4a-4450-a690-730c221e1d67,5d522116-c054-4f48-975a-8487d2445699,62bf879a-6b00-4064-bc16-959989dcd1ec,view,2026-02-17 04:38:47.177146,577,,mobile,organic
fa5d10af-3b07-45fb-a0dd-993d24042fcb,dc7256c2-14e4-40c7-b89f-0e76067cd1d6,f01a8beb-1ec8-4710-b915-149abec98819,search,2026-04-20 09:29:47.177146,265,3 bedroom condo in Upper West Side,tablet,email
ea4e6984-9545-4145-b1a4-6aeb8104affb,7998f22f-a5b8-4567-a54d-e8f56428b0a6,f5728f39-85ff-4997-82af-3d6fcf18899b,view,2026-04-25 08:38:47.177146,94,,desktop,email
9000b943-fd9c-4634-9d10-f4ea30eddb46,d3f63d24-b771-4505-8fb1-2fe181fd00f6,d3bf460c-cb25-4a9d-8bcd-e0c4d100bbfa,search,2026-03-10 09:42:47.177146,362,pet-friendly townhouse in San Francisco,desktop,email
ea7ec7ad-b553-4d64-a9c3-309585068263,fc03c3fa-efbc-4769-af58-274b54a5d1ea,eefafb1f-e2d9-4ff8-8057-04b4cd471ead,save,2026-03-27 04:53:47.177146,152,,tablet,social
614eb16e-7226-4cd9-8edf-1c28903d5019,1e4a67ef-b6ae-49a3-a98f-2da4a31fea24,41320697-d9b4-4431-a54c-eb82cf14e207,share,2026-03-06 12:19:47.177146,292,,tablet,social
ac8354e0-1ac1-442d-8419-ae4f7e5e9f92,b5551b11-f0b6-4569-ba8c-5aeedf791cff,8c0db089-4914-47e5-93f2-d2559add74cb,save,2026-02-21 11:39:47.177146,69,,mobile,social
a3c2668a-5c8d-49ed-8280-b63a93b0faae,0b5e138f-a6d9-4684-8be3-499fe99a4b74,c294bb01-8894-4652-a415-b1735a94c0d2,share,2026-03-22 17:25:47.177146,366,,tablet,paid_ad
bba1b9d4-5dcb-4a64-b104-dc33212532da,a856a947-dde9-436d-973c-3d950fc363a7,7e03fc74-8aca-4546-b98a-42a095d56947,view,2026-04-17 01:25:47.177146,98,,desktop,email
d1ddada8-21e4-4bd0-8bea-f6f1ebd82715,0b19a668-d7a3-4e1e-b49d-34468755107b,76f00767-9027-4fd9-aaff-83e28b0e9522,search,2026-03-19 18:30:47.177146,497,homes under 500k in Portland,mobile,organic
77e29e79-d20b-468b-9e84-0c0b8e114a0d,f0278f96-0132-4a20-b5da-35341997c79a,5efb6af6-545d-428e-a18e-dcb32b7a1b31,view,2026-04-20 23:53:47.177146,397,,tablet,paid_ad
1ddbff32-4028-46f6-a38c-fad3334c3b81,5f481da1-c608-4daf-9108-1b29fe01a5d8,3d169bdf-1e87-458e-9648-58ff0e36ba08,share,2026-02-28 16:04:47.177146,115,,mobile,organic
aa96d093-f3fe-4ed9-aa2b-1293d23ee1cd,4e11f928-bdb1-46a0-ad28-623e7196c47f,5552ffe6-d095-43b4-8416-ffc76287b05e,save,2026-03-13 13:15:47.177146,70,,tablet,social
3eb0db6b-a4dd-475e-83e6-fe67e9c7270b,af1a0c3f-826f-4c81-924b-f386b9930d3c,3f921730-4ea7-4046-9dfd-2bb3c935f26f,save,2026-04-17 13:44:47.177146,17,,desktop,paid_ad
